hospital_name,hospital_type,address,insurers,rating,specialties,tier,segment
CHC Bishnah,Government,"CHC BISHNAH, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
CHC R.S.PURA,Government,"CHC RS PURA NEAR BUS STAND, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
Basholi,Government,"Near Convent School, near convent school, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; Neurology; Oncology; Gynecology; Urology,City 1,Government
Bani,Government,"Near foot bridge, near foot bridge, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Urology,City 1,Government
Billawar,Government,"NEAR ADC RESIDENTIAL QUARTERS, BILLAWAR, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
Gousia Hospital Khanyar,Government,"Near Police Station Khanayar, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
DH shopian,Government,"Malik mohallah, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Town 1,Government
GMC Baramulla,Government,"Kanth Bagh, Baramulla, Kanth Bagh Baramulla, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Town 1,Government
DH GANDERBAL,Government,"Checki Duderhama Ganderbal, Bon Bazar Duderhama Ganderbal, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Town 1,Government
DH Bandipora,Government,"Bandipora, Nusso Bandipora, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Town 1,Government
GMC MCH Anantnag AH of GMC Anantnag,Government,"SHERBAGH ANANTNAG, SHERBAGH ANANTNAG 192101, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Town 1,Government
Akhnoor,Government,"near main bazar akhnoor, akhnoor, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
ASYM DISTRICT HOSPITAL BUDGAM,Government,"COURT ROAD Budgam, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Town 1,Government
Bhaderwah,Government,"Opposite Grid Station Dandi Bhaderwah, Dandi, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
Govt L D Hospital,Government,"Wazir Bagh, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
NAZIRA MEMORIAL HOSPITAL,Private,"Vessu near higher secondary vessu NH44, Vessu Near Higher Secondary Vessu NH44, Jammu and Kashmir",PMJAY,0.0,General Surgery,City 1,Budget/Local
Psychiatric Hospital AH of GMC Srinagar,Government,"Kathi Darwaza, Near Badamwari, Rainawari, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
Shri Maharaja Gulab Singh Hospital Jammu,Government,"Shalamar Road Jammu, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
SMHS HOSPITAL,Government,"SMHS HOSPITAL KARAN NAGAR SRINAGAR, gole Market Karan Nagar, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
SKIMS srinagar,Government,"Soura, Main Chowk Soura, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
jammu city oncology clinic with intervention,Private,"129 garden avenue talab tillo jammu, Jammu and Kashmir","PMJAY,Star Health",0.0,Oncology,City 1,Standard Private
