hospital_name,hospital_type,address,insurers,rating,specialties,tier,segment
CHC PINAGWAN,Government,"SHIKRAWA PINGWAN ROAD, Haryana",PMJAY,0.0,Gynecology,Town 2,Government
PHC Talu,Government,"Village Talu, v p o talu, Haryana",PMJAY,0.0,Gynecology,Town 2,Government
PHC Lilas,Government,"Village Lilas, Haryana",PMJAY,0.0,Gynecology,Town 2,Government
UPHC Dhana road,Government,"SDH BAWANI KHERA, UPHC Dhana Road Dadri Gate Bhiwani, Haryana",PMJAY,0.0,Gynecology,City 2,Government
PHC Nindana,Government,"VPO Nindana, nindana tigri, v.p.o nindana, Haryana",PMJAY,0.0,Gynecology,Town 2,Government
phc ismaila,Government,"ismaila, Near Govt Girl School, Haryana",PMJAY,0.0,Gynecology,Town 2,Government
Nawal Hospital and Trauma centre,Private,"opp. malwa motors, kundli, Haryana",PMJAY,0.0,Orthopedics; General Surgery,Town 2,Budget/Local
PRISMA CARE,Private,"Sanoli Road Near Shiv Chowk Panipat, SANOLI ROAD NEAR SHIV CHOWK PANIPT, Haryana","PMJAY,HDFC",0.0,Orthopedics; General Surgery; Gynecology; Urology,City 2,Standard Private
PGV HEALTH WELLNESS HOSPITAL,Private,"Plot No 1, Sector 3, Near Neev The Foundation School, Haryana",PMJAY,0.0,General Surgery,Town 2,Budget/Local
Anand Orthopaedic Centre,Private,"Opposite Theme Park, Near Panorama, kkr, Haryana","PMJAY,Care Health,Star Health,Aditya Birla",0.0,Orthopedics; General Surgery; Neurology; Gynecology; Urology,City 2,Established
HEALTH  WAVE HOSPITAL DR SUNIL GUPTA MULTISPECLITY HOSPITAL,Private,"opp.akahand asharam near p.n.b.bank assandH road panipat, ASSANDH ROAD PANIPAT, Haryana",PMJAY,0.0,General Surgery,City 2,Budget/Local
aabhar multispeciality hospital,Private,"aabhar Multispeciality Hospital, Haryana",PMJAY,0.0,Orthopedics; General Surgery; Gynecology,Town 2,Budget/Local
Gujaria Hospital,Private,"Sikka Colony, Delhi Road, Sonipat-131001, Haryana","PMJAY,HDFC",0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 2,Standard Private
ORTHOMED HOSPITAL A UNIT OF ORTHOMED HEALTHCARE PVT LTD,Private,"Sector 15 AP, Kaimri Road, Hisar, Haryana",PMJAY,0.0,Orthopedics; General Surgery; Neurology; Urology,City 2,Budget/Local
AKASH HOSPITAL,Private,"SHIV NAGAR BHIWANI CHINGI ROHTAK, BHIWANI CHUNGI, Haryana","PMJAY,Care Health,Star Health,ICICI Lombard",0.0,General Surgery; Gynecology,City 2,Standard Private
AKASH HOSPITAL,Private,"HARDOIYA BAZAR NAGRAM ROAD LUCKNOW, nagram road, Uttar Pradesh","PMJAY,HDFC",0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Large City 1,Standard Private
AKASH HOSPITAL,Private,"Akash, Devanahalli, Andhra Pradesh",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Town 2,Budget/Local
Akash Hospital,Private,"Near Mahato Bandh Sakaro Kulhi Behind Chas Thana, Bokaro, Jharkhand, 827013",Care Health,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Standard Private
santosh hospital and maternity home,Private,"Dabwali road. near ADB SBI branch, shivaji colony, Haryana","PMJAY,HDFC",0.0,Orthopedics; General Surgery; Gynecology,Town 2,Standard Private
GANGA SAHAI MULTISPECIALTY HOSPITAL,Private,"HUDA BYE PASS ROAD SEC 3 REWARI, GANGA SAHAI MULTISPECIALITY HOSPITAL HUDA BYE PASS ROAD SEC 3RI, REWAR, Haryana","PMJAY,Care Health,ICICI Lombard",0.0,Orthopedics; General Surgery; Urology,City 2,Standard Private
Narang Hospital,Private,"Near SBI Bank(ADB Branch) Opp parmeshwar petrolpump, Dabwali Road Sirsa, Haryana",PMJAY,0.0,General Surgery; Gynecology,City 2,Budget/Local
MK HOSPITAL BHIWANI,Private,"5th Milestone Bhiwani-Rohtak Highway, Haryana","PMJAY,Niva Bupa",0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 2,Standard Private
LALIT HEART AND CHLID CARE CENTRE,Private,"OPP. AROMA IN, DABWALI ROAD, Haryana",PMJAY,0.0,Cardiology,Town 2,Budget/Local
Bhagat Orthopaedic Hospital,Private,"Jalbera Road, Opposite Sai Mandir, Haryana","PMJAY,Care Health,HDFC,ICICI Lombard,Aditya Birla",0.0,Orthopedics,Town 2,Established
NOBLE HOSPITAL,Private,"TDIBLOCK A TDI CLUB ROAD SECTOR 58 KUNDLI SONIPAT, Haryana",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Gynecology; Urology,City 2,Budget/Local
NOBLE HOSPITAL,Private,"NEAR AMBEDKAR PARK KOTWALI ROAD, Uttar Pradesh",PMJAY,0.0,Orthopedics; General Surgery; Gynecology; Urology,Town 2,Budget/Local
NOBLE HOSPITAL,Private,"Vasundhra Nagar, Ring Road no 2, opposite Haribhoomi Press, Chhattisgarh",PMJAY,0.0,Orthopedics; General Surgery,Town 2,Budget/Local
NOBLE HOSPITAL,Private,"179/2/24, 25 BICHOLI MARDANA NR SHREEJI VALLEY INDORE, Madhya Pradesh","PMJAY,Care Health,Star Health,HDFC,ICICI Lombard,Aditya Birla",0.0,Orthopedics; Urology,Large City 1,Established
Noble Hospital,Private,"NO 4 6 8 10 Audiappan Street Purasawalkam, Tamil Nadu",PMJAY,0.0,Orthopedics; General Surgery; Oncology; Gynecology,Town 2,Budget/Local
Noble Hospital,Private,"Nawrang Darwaza Road Berun Quilla Berun Quilla, Raichur, Karnataka, 584101",Care Health,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 2,Standard Private
Noble Hospital,Private,"329 330 South Bopal Trade Centre Near Aryan Gloria Gala Gymkhana Road South Bopal Ghuma Daskroi Gujarat, Ahmedabad, Gujarat, 380058","HDFC,Aditya Birla",0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Metro 2,Established
Noble Hospital,Private,"208 E Sardarpura Central Academy School, Udaipur, Rajasthan, 313001",HDFC,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Standard Private
katyal hospital and critical care centre,Private,"5JR9+456 Katyal Hospital, Old Ct Rd, New Colony, Rewari, Haryana","PMJAY,Niva Bupa",0.0,General Surgery; Gynecology; Urology,City 2,Standard Private
MAHADEV HOSPITAL,Private,"327, 328 Vidyanagr Aakashwani chowk Jalgaon, Maharashtra",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Urology,City 2,Budget/Local
Mahadev Hospital,Private,"Mahima Complex Vyapar Vihar Road---, Bilaspur, Chhattisgarh, 495001","ICICI Lombard,Niva Bupa,Aditya Birla",0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 2,Established
SUNIL MEMORIAL HOSPITAL AND HEART CARE CENTRE,Private,"ASSANDH ROAD, NEAR BHARAT PETROL PUMP PANIPAT, Haryana",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Gynecology; Urology,City 2,Budget/Local
KALAWATI ANAND HOSPITAL & DIGESTIVE DISEASE CENTRE,Private,"19, 33, p-20, 34, sEC. 12, OPP. HSVP OFFICE, Haryana",PMJAY,0.0,Gynecology,City 2,Budget/Local
Northern Railway Divisional Hospital,Government,"Northern Railway Divisional Hospital, Ambala, Haryana",PMJAY,0.0,Orthopedics,City 2,Government
MAYOM HOSPITAL,Private,"d block South1, South","PMJAY,HDFC,ICICI Lombard,Niva Bupa",0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Town 2,Established
Dr Sethis Amar Hospital,Private,"Main Rohtak road, Opposite Post Office, Kharkhoda, Haryana","PMJAY,HDFC",0.0,Orthopedics; General Surgery; Gynecology,City 2,Standard Private
shri narayan heart and multispeciality hospital,Private,"131behind 9th planat hotel mohan nager pipli road kurukshetra, Haryana",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Urology,Town 1,Budget/Local
Umeed Hospital,Private,"In front of HP Petrol Pump, Main ROad Barwala, Haryana",PMJAY,0.0,General Surgery; Gynecology,Town 2,Budget/Local
SANSKARAM HOSPITAL AND TRAUMA CENTER,Private,"KHERI, TALUKA-PATAUDA, JHAJJAR, Haryana","PMJAY,Star Health,HDFC,Aditya Birla",0.0,Orthopedics; General Surgery; Gynecology; Urology,Town 1,Established
Hasija Hospital,Private,"NH 44, sector 57, Kundli Industrial Area, 131028 Sonipat, Haryana","PMJAY,Care Health,Star Health,HDFC,Niva Bupa,Aditya Birla",0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 2,Established
DR. GIAN BHUSHAN NURSING HOME,Private,"OLD KUNJPURA ROAD, KARNAL, Haryana","PMJAY,HDFC,ICICI Lombard,Niva Bupa,Aditya Birla",0.0,Orthopedics; General Surgery,City 2,Established
RAJENDRA HOSPITAL,Private,"DEORIA ROAD NEAR MMM ENGINEERING COLLEGE GORAKHPUR, Uttar Pradesh","PMJAY,Star Health,ICICI Lombard,Niva Bupa,Aditya Birla",0.0,Cardiology; Orthopedics; General Surgery; Neurology; Gynecology; Urology,City 1,Established
Rajendra Hospital,Private,"Dulor Nh-30, Jagdishpur, Bihar, 802158","Star Health,ICICI Lombard",0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Town 2,Standard Private
Rajendra Hospital,Private,"Aluvilai, Moolachel, Mekkamandapam, Kanyakumari Dist, Vellimalai, Tamil Nadu, 629166",Star Health,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Standard Private
Dr Pradeep Hospital,Private,"near kanod gate, Haryana",PMJAY,0.0,Orthopedics; General Surgery; Gynecology; Urology,Town 2,Budget/Local
LOKPRIYA SUPERSPECIALITY HOSPITAL,Private,"DINOD GATE, BHIWANI, Haryana",PMJAY,0.0,Cardiology; Gynecology,City 2,Budget/Local
CAPITAL SUPER SPECIALITY HOSPITAL,Private,"ambala road, jagadhri, yamunanagar, ambala road, jagadhri, yamunanagar, Haryana","PMJAY,Care Health,HDFC,Aditya Birla",0.0,Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 2,Established
Pragati Childcare and Multispeciality Hospital,Private,"Opp Sagar Villa, Near Sheela Bypass Chowk, Haryana",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 2,Budget/Local
SUBHASH NURSING HOME,Private,"Gosayi Gate, Govt Collage Road, Haryana",PMJAY,0.0,General Surgery; Gynecology,Town 2,Budget/Local
SANJIVINI MULTISPECIALITY HOSPITAL BHIWANI,Private,"NEW BHARAT NAGAR COLONY, ROHTAK ROAD, BHIWANI - 127021 HARYANA, ROHTAK ROAD, Haryana",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 2,Budget/Local
GURDEVI MEMORIAL SUPER SPECIALITY HOSPITAL,Private,"NEAR AND OPPOSITE SAPPHIRE HOTEL STATE HIGHWAY 6A, Haryana",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Town 2,Budget/Local
SPES NEW BORN AND CHILD SUPER SPECIALITY CENTRE,Private,"SUBHASH NAGAR, SONEPAT ROAD, NEAR SHEELA CINEMA, ROHTAK, Haryana","PMJAY,HDFC",0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 2,Established
Phc Ujina,Government,"Phc Ujina, Hodal Nuh road, Haryana",PMJAY,0.0,Gynecology,Town 2,Government
SHRI GURUNANAK MULTISPECIALITY & BAWASIR HOSPITAL,Private,"DABWALI ROAD, PURANA HOUSING BOARD ROAD, NEAR KAPAS MANDI, SIRSA 125055, Haryana",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 2,Budget/Local
Polyclinic Sector 55,Government,"Polyclinic Sector 55 Near Gauchi Tehsil, Haryana",PMJAY,0.0,General Surgery; Gynecology,Town 2,Government
BATRA HEART AND MULTISPECIALITY HOSPITAL ( A UNIT OF WONDER HOSPITAL PRIVATE LIMITED),Private,"Health Site, Spring Field Colony, Sector-31, Faridabad-121003, Haryana, Haryana",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Metro 1,Budget/Local
MEDICARE SUPERSPECIALITY HOSPITAL AND TRAUMA CENTER,Private,"OPPOSITE PWD REST HOUSE JHAJJAR, Haryana",PMJAY,0.0,Orthopedics; General Surgery; Gynecology,Town 1,Budget/Local
KIDNEY CARE CENTRE,Private,"SCO 136-137 SECTOR 14 PANCHKULA, Haryana","PMJAY,Star Health,HDFC,Aditya Birla",0.0,Urology,Large City 2,Established
Kidney Care Centre,Private,"9 D Madurai Road, Tirunelveli, Tamil Nadu, 627001",ICICI Lombard,0.0,Urology,City 1,Budget/Local
Sunshine Hospital,Private,"Sec-64 Saupura Road, Ballbaghad, Haryana",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Town 2,Budget/Local
SUNSHINE HOSPITAL,Private,"JAIPUR ROAD, UDAIPURWATI, Rajasthan",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Large City 1,Premium
SUNSHINE HOSPITAL,Private,"Plot No - 317Cuttack RoadLaxmisagar Bhubaneswar 751006, Odisha","PMJAY,ICICI Lombard",0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Premium
SUNSHINE HOSPITAL,Private,"INFRONT OF LUTHRA HOSPITAL NEHRU NAGAR ROAD MUNGELI NAKA BILASPUR, Chhattisgarh",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 2,Budget/Local
SUNSHINE HOSPITAL,Private,"05 JYOTI PARISAR, NEAR LOTUS ELECTRONIC, KOH E FIZA, NEAR LOTUS ELECTRONICS KOHEFIZA, Madhya Pradesh","PMJAY,Care Health,ICICI Lombard",0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Town 2,Premium
SUNSHINE HOSPITAL,Private,"RAJMAHEL ROAD PATAN, Gujarat",PMJAY,0.0,General Surgery,City 2,Budget/Local
SUNSHINE HOSPITAL,Private,"NERUL SECTOR 16, Maharashtra","PMJAY,Care Health,Star Health,HDFC,ICICI Lombard,Aditya Birla",0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Metro 1,Premium
SUNSHINE HOSPITALS,Private,"3-1-783 COURT CHOWRASTHA, Telangana","PMJAY,Care Health,ICICI Lombard",0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Town 2,Standard Private
Sunshine Hospital,Private,"Hajipur Chandralay Vaishali, Hajipur, Bihar, 844103",Star Health,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Town 1,Premium
Sunshine Hospital,Private,"No: 1190 Bypass Road Na Do S1 Nagar Maruti Showroom, Tiruvallur, Tamil Nadu, 602001","HDFC,ICICI Lombard",0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Metro 2,Premium
BATRA SUPER SPECIALITY HOSPITAL,Private,"PLOT NO.1, RANGOLI GREENS, SECTOR-16, Haryana",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Town 2,Budget/Local
INDUS SUPER SPECIALITY HOSPITAL(A UNIT OF K AND SANT TRICITY HOSPITAL PVT LTD.),Private,"SITE 2 AND 3 SEC 15, PANCHKULA, Haryana",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Large City 2,Budget/Local
AADHYA9 MULTISPECIALITY HOSPITAL,Private,"W-4, WEST PATEL NAGAR, DELHI-110008., Delhi",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Metro 1,Budget/Local
MAXFORD HEALTHCARE,Private,"393-A, MAIN, 33FT.ROAD NEAR SHIV VIHAR TIRAHA, KARAWAL NAGAR, DELHI-110094, Delhi",PMJAY,0.0,Orthopedics; General Surgery; Gynecology,Metro 1,Budget/Local
Rajiv Gandhi Super Speciality Hospital,Government,"Rajiv Gandhi Super Specialty Hospital, Tahirpur, Delhi, Delhi",PMJAY,0.0,Cardiology; General Surgery; Urology,Metro 1,Government
DR N C JOSHI MEMORIAL HOSPITAL,Government,"JOSHI ROAD KAROL BAGH NEW DELHI 110005, Delhi",PMJAY,0.0,Orthopedics; General Surgery; Gynecology,Metro 1,Government
BHATIA GLOBAL HOSPITAL AND ENDOSURGERY INSTITUTE,Private,"307-308, AMBICA VIHAR, Paschim Vihar, Delhi, Delhi","PMJAY,Star Health",0.0,Orthopedics; General Surgery,Metro 1,Premium
BATRA HOSPITAL AND MEDICAL RESEARCH CENTRE,Private,"1, TUGHLAKABAD INSTITUTIONAL AREA, M. B. ROAD NEW DELHI - 110062, Delhi","PMJAY,Star Health,HDFC,ICICI Lombard",0.0,Cardiology; Oncology,Metro 1,Established
CHACHA NEHRU BAL CHIKITSALAYA,Government,"ram raj kohli marg geeta colony, Delhi",PMJAY,0.0,Orthopedics,Metro 1,Government
MAHARAJA YESHWANT RAO HOSPITAL,Government,"MYH Campus, Madhya Pradesh",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Town 2,Government
Arnish Multispecialty Hospital,Private,"Plot No.8, Pocket B-8, Sector 19, Rohini, Delhi- 110089, Delhi",PMJAY,0.0,Orthopedics; General Surgery; Neurology; Gynecology; Urology,Metro 1,Budget/Local
Deen dayal Upadhyay hospital,Government,"Shaheed Mangal Pandey marg Hari nagar near ghanta ghar, Delhi",PMJAY,0.0,Orthopedics; General Surgery; Gynecology,Metro 1,Government
DH JPC HOSPITAL,Government,"jag pravesh chandra hospital shastri park 0 pusta, Delhi",PMJAY,0.0,Orthopedics; General Surgery; Gynecology,Metro 1,Government
COMMAANDER HOSPITAL RUN AND OPERATED BY MOHIMA HEALTHCARE PVT LTD,Private,"Plot no. 55, 56, 57 Shiv Vihar (West) Vikas Nagar, New Delhi - 110059, Delhi",PMJAY,0.0,Orthopedics; General Surgery; Gynecology,Metro 1,Budget/Local
cribs hospital,Private,"F1, 40 Road Shaheenbagh okhla New Delhi, Delhi","PMJAY,HDFC,Aditya Birla",0.0,Orthopedics; General Surgery; Gynecology; Urology,Metro 1,Established
CRIBS HOSPITAL,Private,"cribs hospital, basuara, Bihar","PMJAY,Care Health,Star Health,HDFC,ICICI Lombard,Aditya Birla",0.0,Cardiology; Orthopedics; General Surgery; Gynecology; Urology,Town 2,Established
SARDAR VALLABH BHAI PATEL HOSPITAL,Government,"Sardar Vallabh Bhai Patel Hospital Patel Nagar new Delhi, Delhi",PMJAY,0.0,Orthopedics; General Surgery; Gynecology,Metro 1,Government
MATA GUJRI HOSPITAL MCD TILAK NAGAR,Government,"Mangal Bazaar Road, Block 11, Tilak Nagar, Delhi",PMJAY,0.0,Orthopedics; General Surgery; Gynecology,Metro 1,Government
SWAMI DAYANAND HOSPITAL,Government,"SWAMI DAYANAND HOSPITAL, Delhi",PMJAY,0.0,Orthopedics; General Surgery; Gynecology,Metro 1,Government
KUBER HOSPITAL AND UROLOGY CENTRE,Private,"12 CHANDERLOK ENCLAVE Pitampura, Delhi",PMJAY,0.0,Urology,Metro 1,Budget/Local
GURU GOBIND SINGH GOVERNMENT HOSPITAL,Government,"F Block Raghubir Nagar, Delhi",PMJAY,0.0,Orthopedics; General Surgery; Gynecology,Metro 1,Government
C D Global Hospital,Private,"Plot No 897/4 Main Rohtak Road opp pillar no 492 Swarn Park Mundka, Delhi","PMJAY,ICICI Lombard,Aditya Birla",0.0,Orthopedics; General Surgery; Gynecology; Urology,City 2,Premium
Ambedkar Nagar Hospital Dakshinpuri,Government,"Ambedkar Nagar Hospital, Block-B, Sector.5, Dakshinpuri, New Delhi-110062, Delhi",PMJAY,0.0,Orthopedics; General Surgery; Gynecology,Metro 1,Government
Indira Gandhi Hospital,Government,"Indira Gandhi Hospital Co op Colony, Ambazari - 440010, Nagpur, Maharashtra",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Large City 1,Government
AS KIDNEY HOSPITAL AND STONE CENTRE PVT. LTD.,Private,"RZ 70A, Main, Dabri - Palam Rd, adjoining Jindal Public School, Dashrath Puri, Delhi",PMJAY,0.0,Orthopedics; General Surgery; Urology,City 2,Budget/Local
SHREE VINAYAK HOSPITAL,Private,"PLOT NO 216/A KHASRA NO 25/11 SUKHI NAHAR PRATAP VIHAR PART 3, MAIN NIRTHARI ROAD NEW DELHI 110086, Delhi",PMJAY,0.0,Orthopedics; General Surgery; Gynecology; Urology,Metro 1,Budget/Local
SHREE VINAYAK HOSPITAL,Private,"43/2 PRAYAG RAJ, MARG LAXMANPUR SULTANPUR, Uttar Pradesh","PMJAY,Care Health,Star Health",0.0,General Surgery; Gynecology,City 2,Standard Private
SHREE VINAYAK HOSPITAL,Private,"plot number 347, mandakini society kolar road, Bhopal, Madhya Pradesh","PMJAY,HDFC,Aditya Birla",0.0,Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Large City 1,Standard Private
Shree Vinayak Hospital,Private,"Engineering College Road Mulewadi Road Manchar, Pune, Maharashtra, 410503",ICICI Lombard,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Metro 2,Standard Private
Deep Chand Bandhu Hospital,Government,"Ashok Vihar Phase-4, Oppsite Bharat Nagar Police Station, Bunkar Colony, Delhi",PMJAY,0.0,Gynecology,Metro 1,Government
Medis Hospital,Private,"A-56, Gali No.8, Jyoti Colony, Shahdara, Delhi, Delhi",PMJAY,0.0,Orthopedics; General Surgery; Gynecology,Metro 1,Budget/Local
New Life Medical Centre,Private,"No:7, Bharathi Street, Alapakkam, Tamil Nadu, 604001",Star Health,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Town 2,Standard Private
Dr. Baba Saheb Ambedkar Hospital,Government,"Sector-6, Rohini, Delhi, Delhi",PMJAY,0.0,Orthopedics; General Surgery; Gynecology; Urology,Metro 1,Government
K K SURGICAL AND MATERNITY CENTRE,Private,"B-37 EAST JYOTI NAGAR, LONI ROAD Shahdara, Delhi",PMJAY,0.0,General Surgery; Gynecology; Urology,Metro 1,Budget/Local
DHARAMVEER SOLANKI HOSPITAL,Private,"b-2 lakh ram park near ndpl office 100 feet road opp sector 22 Rohini, Delhi 110086, Delhi","PMJAY,HDFC,ICICI Lombard",0.0,Orthopedics; General Surgery; Gynecology; Urology,Metro 1,Established
DELHI STATE CANCER INSTITUTE,Government,"GTB Hospital Campus, Gate No. 8, Dilshad Garden, Delhi",PMJAY,0.0,General Surgery; Neurology; Oncology; Gynecology; Urology,Metro 1,Government
KALRA HOSPITAL DWARKA,Private,"3A 25 26, Sewak Park Extn, Delhi","PMJAY,HDFC",0.0,Orthopedics; General Surgery,Metro 1,Standard Private
SK JAIN HOSPITAL,Private,"11/83-84 GEETA COLONY, Delhi",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Gynecology; Urology,Metro 1,Budget/Local
SAMYAK HOSPITAL,Private,"BM 7 East Shalimar Bagh New Delhi 110088, Delhi","PMJAY,Star Health,HDFC,Aditya Birla",0.0,Orthopedics; General Surgery; Oncology; Gynecology; Urology,Metro 1,Established
KONARC HOSPITAL,Private,"9A/1, NARESH PARK NANGLOI DELHI 41, main najafgarh road, Delhi",PMJAY,0.0,Orthopedics; General Surgery; Gynecology,Metro 1,Budget/Local
GOYAL HOSPITAL UROLOGY CENTRE,Private,"E 4/8 KRISHNA NAGAR DELHI, Krishna Nagar, Delhi","PMJAY,Care Health,ICICI Lombard,Niva Bupa",0.0,Orthopedics; General Surgery; Gynecology; Urology,City 2,Established
SANT SOHAM HOSPITAL,Private,"H-2/31, SANT SOHAM HOSPITAL, SECTOR-11, Rohini, Delhi, Delhi","PMJAY,Care Health,Star Health,HDFC",0.0,Orthopedics; General Surgery; Gynecology; Urology,Metro 1,Established
Bhagwan Mahavir Hospital Pitampura,Government,"H5 Pitampura, Delhi, Delhi",PMJAY,0.0,Orthopedics; General Surgery; Gynecology,Metro 1,Government
Mansaram Hospital Private Limited,Private,"B-5, Aman Puri Extension, Main Najafgarh Road, Nangloi, Delhi, Delhi","PMJAY,Aditya Birla",0.0,Orthopedics; General Surgery; Gynecology; Urology,Metro 1,Standard Private
NULIFE MULTI SPECIALITY HOSPITAL,Private,"1616, OUTRAM LANE, GTB NAGAR, DELHI-09, Delhi",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Gynecology; Urology,Metro 1,Budget/Local
SHAKUNTLA HOSPITAL,Private,"RZI-81A, rZI-81A, Sagarpur West, Delhi, Delhi",PMJAY,0.0,Orthopedics; General Surgery; Gynecology,Metro 1,Budget/Local
Shakuntla Hospital,Private,"Near Leochowk 42823, Rewari, Haryana, 123401",HDFC,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 2,Standard Private
Shri Dada Dev Matri Avum Shishu Chikitsalya Hospital,Government,"Palam Dabri Marg, Block A, Dabri, Dabri, Delhi",PMJAY,0.0,Gynecology,Metro 1,Government
kasturba hospital,Government,"kasturba hospital, jama masjid, Delhi","PMJAY,Star Health",0.0,General Surgery; Gynecology,Metro 1,Government
KASTURBA HOSPITAL,Government,"Habibganj near railway station, Madhya Pradesh",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Town 2,Government
KASTURBA HOSPITAL,Government,"Sane Guruji Marg, Arya Nagar, Chinchpokli, Mumbai, Maharashtra 400011, Maharashtra",PMJAY,0.0,Cardiology; Oncology,Metro 1,Government
KASTURBA HOSPITAL,Private,"nEW OPD, 1ST FLOOR, MADHAV NAGAR, MANIPAL, Karnataka","PMJAY,Care Health,Star Health,HDFC,ICICI Lombard,Aditya Birla",0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Town 2,Established
Kasturba Hospital,Private,"Chinnalapatti, Dindigul., Tamil Nadu","PMJAY,Star Health,ICICI Lombard",0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 2,Established
Kasturba Hospital,Private,"Lala Lajpatrai Road, Opposite Jamnabai Public School, Valsad, Gujarat, 396001",Star Health,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 2,Standard Private
HIGHLANDCARE MULTISPECALITY HOSPITAL,Private,"sector 3, Dwarka, Delhi, Delhi",PMJAY,0.0,Orthopedics; General Surgery; Gynecology,Metro 1,Budget/Local
Burari Hospital,Government,"Burari Hospital Kaushik Enclave Burari, Delhi",PMJAY,0.0,Orthopedics; Gynecology,Metro 1,Government
ARYA HOSPITAL,Private,"C-1 101 PANKHA ROAD JANAK PURI, Delhi","PMJAY,Star Health,HDFC,ICICI Lombard,Aditya Birla",0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 2,Established
ARYA HOSPITAL,Private,"WARD NO 36, DR CHECHANI KI GALI, SHAKHPURA MOHALLA, SIKAR, Rajasthan",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 2,Budget/Local
